#10.0eV differential cross sections for H-H elastic collisions from Krstic and Shultz. 1998,
#angle(deg),sigma(cm^2)
4.41E-04,1.85E-16
2.32E-03,9.74E-16
5.71E-03,2.39E-15
1.06E-02,4.45E-15
1.70E-02,7.13E-15
2.49E-02,1.04E-14
3.43E-02,1.44E-14
4.52E-02,1.89E-14
5.76E-02,2.41E-14
7.15E-02,2.98E-14
8.69E-02,3.61E-14
1.04E-01,4.30E-14
1.22E-01,5.04E-14
1.42E-01,5.82E-14
1.64E-01,6.64E-14
1.87E-01,7.50E-14
2.11E-01,8.38E-14
2.37E-01,9.28E-14
2.64E-01,1.02E-13
2.93E-01,1.11E-13
3.24E-01,1.19E-13
3.56E-01,1.28E-13
3.89E-01,1.35E-13
4.24E-01,1.42E-13
4.60E-01,1.49E-13
4.98E-01,1.54E-13
5.38E-01,1.57E-13
5.78E-01,1.60E-13
6.21E-01,1.61E-13
6.65E-01,1.60E-13
7.10E-01,1.58E-13
7.57E-01,1.54E-13
8.05E-01,1.48E-13
8.55E-01,1.41E-13
9.07E-01,1.33E-13
9.59E-01,1.23E-13
1.01E+00,1.12E-13
1.07E+00,1.01E-13
1.13E+00,8.92E-14
1.19E+00,7.76E-14
1.25E+00,6.64E-14
1.31E+00,5.59E-14
1.37E+00,4.64E-14
1.44E+00,3.81E-14
1.50E+00,3.12E-14
1.57E+00,2.57E-14
1.64E+00,2.16E-14
1.71E+00,1.89E-14
1.78E+00,1.75E-14
1.85E+00,1.70E-14
1.93E+00,1.74E-14
2.01E+00,1.83E-14
2.08E+00,1.94E-14
2.16E+00,2.07E-14
2.24E+00,2.17E-14
2.33E+00,2.25E-14
2.41E+00,2.30E-14
2.50E+00,2.30E-14
2.58E+00,2.27E-14
2.67E+00,2.20E-14
2.76E+00,2.11E-14
2.85E+00,2.00E-14
2.94E+00,1.89E-14
3.04E+00,1.78E-14
3.13E+00,1.68E-14
3.23E+00,1.59E-14
3.33E+00,1.52E-14
3.43E+00,1.46E-14
3.53E+00,1.40E-14
3.63E+00,1.36E-14
3.74E+00,1.32E-14
3.84E+00,1.29E-14
3.95E+00,1.26E-14
4.06E+00,1.23E-14
4.17E+00,1.21E-14
4.28E+00,1.18E-14
4.39E+00,1.16E-14
4.51E+00,1.13E-14
4.62E+00,1.11E-14
4.74E+00,1.09E-14
4.86E+00,1.06E-14
4.98E+00,1.03E-14
5.10E+00,1.00E-14
5.22E+00,9.64E-15
5.35E+00,9.22E-15
5.47E+00,8.76E-15
5.60E+00,8.28E-15
5.73E+00,7.79E-15
5.86E+00,7.34E-15
5.99E+00,6.92E-15
6.12E+00,6.57E-15
6.26E+00,6.30E-15
6.39E+00,6.13E-15
6.53E+00,6.06E-15
6.67E+00,6.10E-15
6.81E+00,6.24E-15
6.95E+00,6.45E-15
7.09E+00,6.70E-15
7.23E+00,6.96E-15
7.38E+00,7.21E-15
7.53E+00,7.41E-15
7.67E+00,7.53E-15
7.82E+00,7.55E-15
7.97E+00,7.47E-15
8.13E+00,7.27E-15
8.28E+00,6.99E-15
8.43E+00,6.66E-15
8.59E+00,6.30E-15
8.75E+00,5.93E-15
8.91E+00,5.60E-15
9.07E+00,5.31E-15
9.23E+00,5.09E-15
9.39E+00,4.95E-15
9.56E+00,4.87E-15
9.72E+00,4.83E-15
9.89E+00,4.80E-15
1.01E+01,4.77E-15
1.02E+01,4.71E-15
1.04E+01,4.62E-15
1.06E+01,4.46E-15
1.07E+01,4.26E-15
1.09E+01,4.00E-15
1.11E+01,3.73E-15
1.13E+01,3.48E-15
1.15E+01,3.26E-15
1.16E+01,3.09E-15
1.18E+01,3.01E-15
1.20E+01,3.02E-15
1.22E+01,3.12E-15
1.24E+01,3.29E-15
1.26E+01,3.50E-15
1.27E+01,3.72E-15
1.29E+01,3.94E-15
1.31E+01,4.10E-15
1.33E+01,4.20E-15
1.35E+01,4.22E-15
1.37E+01,4.15E-15
1.39E+01,4.01E-15
1.41E+01,3.82E-15
1.43E+01,3.62E-15
1.45E+01,3.44E-15
1.47E+01,3.30E-15
1.49E+01,3.23E-15
1.51E+01,3.23E-15
1.53E+01,3.30E-15
1.55E+01,3.40E-15
1.57E+01,3.51E-15
1.59E+01,3.61E-15
1.61E+01,3.65E-15
1.63E+01,3.62E-15
1.66E+01,3.51E-15
1.68E+01,3.31E-15
1.70E+01,3.06E-15
1.72E+01,2.76E-15
1.74E+01,2.46E-15
1.76E+01,2.19E-15
1.79E+01,1.97E-15
1.81E+01,1.83E-15
1.83E+01,1.76E-15
1.85E+01,1.76E-15
1.87E+01,1.81E-15
1.90E+01,1.89E-15
1.92E+01,1.96E-15
1.94E+01,2.01E-15
1.97E+01,2.01E-15
1.99E+01,1.98E-15
2.01E+01,1.93E-15
2.03E+01,1.86E-15
2.06E+01,1.82E-15
2.08E+01,1.83E-15
2.10E+01,1.92E-15
2.13E+01,2.08E-15
2.15E+01,2.32E-15
2.18E+01,2.63E-15
2.20E+01,2.97E-15
2.22E+01,3.30E-15
2.25E+01,3.59E-15
2.27E+01,3.79E-15
2.30E+01,3.89E-15
2.32E+01,3.89E-15
2.35E+01,3.79E-15
2.37E+01,3.61E-15
2.40E+01,3.39E-15
2.42E+01,3.17E-15
2.45E+01,2.98E-15
2.47E+01,2.85E-15
2.50E+01,2.80E-15
2.52E+01,2.81E-15
2.55E+01,2.88E-15
2.57E+01,2.98E-15
2.60E+01,3.07E-15
2.63E+01,3.13E-15
2.65E+01,3.12E-15
2.68E+01,3.04E-15
2.70E+01,2.89E-15
2.73E+01,2.67E-15
2.76E+01,2.41E-15
2.78E+01,2.15E-15
2.81E+01,1.90E-15
2.84E+01,1.70E-15
2.86E+01,1.56E-15
2.89E+01,1.49E-15
2.92E+01,1.48E-15
2.95E+01,1.52E-15
2.97E+01,1.58E-15
3.00E+01,1.65E-15
3.03E+01,1.69E-15
3.06E+01,1.70E-15
3.08E+01,1.66E-15
3.11E+01,1.58E-15
3.14E+01,1.46E-15
3.17E+01,1.32E-15
3.19E+01,1.16E-15
3.22E+01,1.02E-15
3.25E+01,8.96E-16
3.28E+01,8.03E-16
3.31E+01,7.41E-16
3.34E+01,7.08E-16
3.36E+01,6.99E-16
3.39E+01,7.07E-16
3.42E+01,7.21E-16
3.45E+01,7.33E-16
3.48E+01,7.39E-16
3.51E+01,7.36E-16
3.54E+01,7.24E-16
3.57E+01,7.07E-16
3.60E+01,6.86E-16
3.63E+01,6.65E-16
3.66E+01,6.49E-16
3.69E+01,6.40E-16
3.72E+01,6.37E-16
3.75E+01,6.38E-16
3.78E+01,6.44E-16
3.81E+01,6.49E-16
3.84E+01,6.51E-16
3.87E+01,6.48E-16
3.90E+01,6.38E-16
3.93E+01,6.21E-16
3.96E+01,5.98E-16
3.99E+01,5.70E-16
4.02E+01,5.38E-16
4.05E+01,5.04E-16
4.08E+01,4.73E-16
4.11E+01,4.44E-16
4.14E+01,4.17E-16
4.17E+01,3.96E-16
4.20E+01,3.79E-16
4.23E+01,3.67E-16
4.27E+01,3.58E-16
4.30E+01,3.54E-16
4.33E+01,3.53E-16
4.36E+01,3.56E-16
4.39E+01,3.61E-16
4.42E+01,3.69E-16
4.45E+01,3.79E-16
4.49E+01,3.90E-16
4.52E+01,4.01E-16
4.55E+01,4.12E-16
4.58E+01,4.23E-16
4.61E+01,4.33E-16
4.65E+01,4.39E-16
4.68E+01,4.42E-16
4.71E+01,4.43E-16
4.74E+01,4.39E-16
4.78E+01,4.30E-16
4.81E+01,4.20E-16
4.84E+01,4.05E-16
4.87E+01,3.88E-16
4.91E+01,3.68E-16
4.94E+01,3.48E-16
4.97E+01,3.26E-16
5.01E+01,3.05E-16
5.04E+01,2.84E-16
5.07E+01,2.65E-16
5.10E+01,2.49E-16
5.14E+01,2.35E-16
5.17E+01,2.24E-16
5.20E+01,2.17E-16
5.24E+01,2.14E-16
5.27E+01,2.14E-16
5.30E+01,2.17E-16
5.34E+01,2.24E-16
5.37E+01,2.33E-16
5.41E+01,2.44E-16
5.44E+01,2.56E-16
5.47E+01,2.69E-16
5.51E+01,2.82E-16
5.54E+01,2.94E-16
5.57E+01,3.05E-16
5.61E+01,3.13E-16
5.64E+01,3.20E-16
5.68E+01,3.22E-16
5.71E+01,3.23E-16
5.75E+01,3.20E-16
5.78E+01,3.13E-16
5.81E+01,3.04E-16
5.85E+01,2.93E-16
5.88E+01,2.79E-16
5.92E+01,2.63E-16
5.95E+01,2.47E-16
5.99E+01,2.31E-16
6.02E+01,2.14E-16
6.06E+01,1.99E-16
6.09E+01,1.86E-16
6.13E+01,1.75E-16
6.16E+01,1.66E-16
6.20E+01,1.60E-16
6.23E+01,1.58E-16
6.27E+01,1.59E-16
6.30E+01,1.62E-16
6.34E+01,1.69E-16
6.37E+01,1.78E-16
6.41E+01,1.89E-16
6.44E+01,2.02E-16
6.48E+01,2.15E-16
6.51E+01,2.29E-16
6.55E+01,2.41E-16
6.58E+01,2.54E-16
6.62E+01,2.64E-16
6.65E+01,2.72E-16
6.69E+01,2.77E-16
6.73E+01,2.80E-16
6.76E+01,2.78E-16
6.80E+01,2.75E-16
6.83E+01,2.68E-16
6.87E+01,2.58E-16
6.90E+01,2.45E-16
6.94E+01,2.31E-16
6.98E+01,2.15E-16
7.01E+01,1.98E-16
7.05E+01,1.81E-16
7.08E+01,1.64E-16
7.12E+01,1.48E-16
7.16E+01,1.34E-16
7.19E+01,1.22E-16
7.23E+01,1.13E-16
7.26E+01,1.07E-16
7.30E+01,1.04E-16
7.34E+01,1.04E-16
7.37E+01,1.08E-16
7.41E+01,1.14E-16
7.44E+01,1.23E-16
7.48E+01,1.35E-16
7.52E+01,1.48E-16
7.55E+01,1.63E-16
7.59E+01,1.78E-16
7.63E+01,1.94E-16
7.66E+01,2.08E-16
7.70E+01,2.22E-16
7.73E+01,2.33E-16
7.77E+01,2.43E-16
7.81E+01,2.49E-16
7.84E+01,2.53E-16
7.88E+01,2.54E-16
7.92E+01,2.51E-16
7.95E+01,2.45E-16
7.99E+01,2.37E-16
8.03E+01,2.26E-16
8.06E+01,2.13E-16
8.10E+01,1.99E-16
8.14E+01,1.84E-16
8.17E+01,1.68E-16
8.21E+01,1.53E-16
8.25E+01,1.38E-16
8.28E+01,1.25E-16
8.32E+01,1.15E-16
8.36E+01,1.06E-16
8.39E+01,1.00E-16
8.43E+01,9.75E-17
8.47E+01,9.77E-17
8.50E+01,1.01E-16
8.54E+01,1.07E-16
8.58E+01,1.15E-16
8.61E+01,1.25E-16
8.65E+01,1.38E-16
8.69E+01,1.51E-16
8.72E+01,1.65E-16
8.76E+01,1.79E-16
8.80E+01,1.92E-16
8.83E+01,2.04E-16
8.87E+01,2.14E-16
8.91E+01,2.22E-16
8.94E+01,2.28E-16
8.98E+01,2.30E-16
9.02E+01,2.30E-16
9.06E+01,2.28E-16
9.09E+01,2.22E-16
9.13E+01,2.14E-16
9.17E+01,2.04E-16
9.20E+01,1.92E-16
9.24E+01,1.79E-16
9.28E+01,1.65E-16
9.31E+01,1.51E-16
9.35E+01,1.38E-16
9.39E+01,1.25E-16
9.42E+01,1.15E-16
9.46E+01,1.07E-16
9.50E+01,1.01E-16
9.53E+01,9.77E-17
9.57E+01,9.75E-17
9.61E+01,1.00E-16
9.64E+01,1.06E-16
9.68E+01,1.15E-16
9.72E+01,1.25E-16
9.75E+01,1.38E-16
9.79E+01,1.53E-16
9.83E+01,1.68E-16
9.86E+01,1.84E-16
9.90E+01,1.99E-16
9.94E+01,2.13E-16
9.97E+01,2.26E-16
1.00E+02,2.37E-16
1.00E+02,2.45E-16
1.01E+02,2.51E-16
1.01E+02,2.54E-16
1.02E+02,2.53E-16
1.02E+02,2.49E-16
1.02E+02,2.43E-16
1.03E+02,2.33E-16
1.03E+02,2.22E-16
1.03E+02,2.08E-16
1.04E+02,1.94E-16
1.04E+02,1.78E-16
1.04E+02,1.63E-16
1.05E+02,1.48E-16
1.05E+02,1.35E-16
1.06E+02,1.23E-16
1.06E+02,1.14E-16
1.06E+02,1.08E-16
1.07E+02,1.04E-16
1.07E+02,1.04E-16
1.07E+02,1.07E-16
1.08E+02,1.13E-16
1.08E+02,1.22E-16
1.08E+02,1.34E-16
1.09E+02,1.48E-16
1.09E+02,1.64E-16
1.10E+02,1.81E-16
1.10E+02,1.98E-16
1.10E+02,2.15E-16
1.11E+02,2.31E-16
1.11E+02,2.45E-16
1.11E+02,2.58E-16
1.12E+02,2.68E-16
1.12E+02,2.75E-16
1.12E+02,2.78E-16
1.13E+02,2.80E-16
1.13E+02,2.77E-16
1.13E+02,2.72E-16
1.14E+02,2.64E-16
1.14E+02,2.54E-16
1.15E+02,2.41E-16
1.15E+02,2.29E-16
1.15E+02,2.15E-16
1.16E+02,2.02E-16
1.16E+02,1.89E-16
1.16E+02,1.78E-16
1.17E+02,1.69E-16
1.17E+02,1.62E-16
1.17E+02,1.59E-16
1.18E+02,1.58E-16
1.18E+02,1.60E-16
1.18E+02,1.66E-16
1.19E+02,1.75E-16
1.19E+02,1.86E-16
1.19E+02,1.99E-16
1.20E+02,2.14E-16
1.20E+02,2.31E-16
1.20E+02,2.47E-16
1.21E+02,2.63E-16
1.21E+02,2.79E-16
1.22E+02,2.93E-16
1.22E+02,3.04E-16
1.22E+02,3.13E-16
1.23E+02,3.20E-16
1.23E+02,3.23E-16
1.23E+02,3.22E-16
1.24E+02,3.20E-16
1.24E+02,3.13E-16
1.24E+02,3.05E-16
1.25E+02,2.94E-16
1.25E+02,2.82E-16
1.25E+02,2.69E-16
1.26E+02,2.56E-16
1.26E+02,2.44E-16
1.26E+02,2.33E-16
1.27E+02,2.24E-16
1.27E+02,2.17E-16
1.27E+02,2.14E-16
1.28E+02,2.14E-16
1.28E+02,2.17E-16
1.28E+02,2.24E-16
1.29E+02,2.35E-16
1.29E+02,2.49E-16
1.29E+02,2.65E-16
1.30E+02,2.84E-16
1.30E+02,3.05E-16
1.30E+02,3.26E-16
1.31E+02,3.48E-16
1.31E+02,3.68E-16
1.31E+02,3.88E-16
1.32E+02,4.05E-16
1.32E+02,4.20E-16
1.32E+02,4.30E-16
1.33E+02,4.39E-16
1.33E+02,4.43E-16
1.33E+02,4.42E-16
1.34E+02,4.39E-16
1.34E+02,4.33E-16
1.34E+02,4.23E-16
1.34E+02,4.12E-16
1.35E+02,4.01E-16
1.35E+02,3.90E-16
1.35E+02,3.79E-16
1.36E+02,3.69E-16
1.36E+02,3.61E-16
1.36E+02,3.56E-16
1.37E+02,3.53E-16
1.37E+02,3.54E-16
1.37E+02,3.58E-16
1.38E+02,3.67E-16
1.38E+02,3.79E-16
1.38E+02,3.96E-16
1.39E+02,4.17E-16
1.39E+02,4.44E-16
1.39E+02,4.73E-16
1.40E+02,5.04E-16
1.40E+02,5.38E-16
1.40E+02,5.70E-16
1.40E+02,5.98E-16
1.41E+02,6.21E-16
1.41E+02,6.38E-16
1.41E+02,6.48E-16
1.42E+02,6.51E-16
1.42E+02,6.49E-16
1.42E+02,6.44E-16
1.43E+02,6.38E-16
1.43E+02,6.37E-16
1.43E+02,6.40E-16
1.43E+02,6.49E-16
1.44E+02,6.65E-16
1.44E+02,6.86E-16
1.44E+02,7.07E-16
1.45E+02,7.24E-16
1.45E+02,7.36E-16
1.45E+02,7.39E-16
1.45E+02,7.33E-16
1.46E+02,7.21E-16
1.46E+02,7.07E-16
1.46E+02,6.99E-16
1.47E+02,7.08E-16
1.47E+02,7.41E-16
1.47E+02,8.03E-16
1.47E+02,8.96E-16
1.48E+02,1.02E-15
1.48E+02,1.16E-15
1.48E+02,1.32E-15
1.49E+02,1.46E-15
1.49E+02,1.58E-15
1.49E+02,1.66E-15
1.49E+02,1.70E-15
1.50E+02,1.69E-15
1.50E+02,1.65E-15
1.50E+02,1.58E-15
1.51E+02,1.52E-15
1.51E+02,1.48E-15
1.51E+02,1.49E-15
1.51E+02,1.56E-15
1.52E+02,1.70E-15
1.52E+02,1.90E-15
1.52E+02,2.15E-15
1.52E+02,2.41E-15
1.53E+02,2.67E-15
1.53E+02,2.89E-15
1.53E+02,3.04E-15
1.53E+02,3.12E-15
1.54E+02,3.13E-15
1.54E+02,3.07E-15
1.54E+02,2.98E-15
1.55E+02,2.88E-15
1.55E+02,2.81E-15
1.55E+02,2.80E-15
1.55E+02,2.85E-15
1.56E+02,2.98E-15
1.56E+02,3.17E-15
1.56E+02,3.39E-15
1.56E+02,3.61E-15
1.57E+02,3.79E-15
1.57E+02,3.89E-15
1.57E+02,3.89E-15
1.57E+02,3.79E-15
1.58E+02,3.59E-15
1.58E+02,3.30E-15
1.58E+02,2.97E-15
1.58E+02,2.63E-15
1.58E+02,2.32E-15
1.59E+02,2.08E-15
1.59E+02,1.92E-15
1.59E+02,1.83E-15
1.59E+02,1.82E-15
1.60E+02,1.86E-15
1.60E+02,1.93E-15
1.60E+02,1.98E-15
1.60E+02,2.01E-15
1.61E+02,2.01E-15
1.61E+02,1.96E-15
1.61E+02,1.89E-15
1.61E+02,1.81E-15
1.61E+02,1.76E-15
1.62E+02,1.76E-15
1.62E+02,1.83E-15
1.62E+02,1.97E-15
1.62E+02,2.19E-15
1.63E+02,2.46E-15
1.63E+02,2.76E-15
1.63E+02,3.06E-15
1.63E+02,3.31E-15
1.63E+02,3.51E-15
1.64E+02,3.62E-15
1.64E+02,3.65E-15
1.64E+02,3.61E-15
1.64E+02,3.51E-15
1.64E+02,3.40E-15
1.65E+02,3.30E-15
1.65E+02,3.23E-15
